putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
"Glycine,_N-cinNaNmoyl-,_trans-_(1TMS)_772530.69_PRED"	2096	2445	2128	2206	2668	7210	3611	NaN	11332	6264	5593	4259	6176	7113	3072	5076	4533	5746	4767	6134	2671	8448
Glycylglycine_(3TMS)_628479.25_TRUE	445	480	402	256	490	470	414	23533	531	622	341	553	372	316	462	280	328	583	338	638	346	363
Glycylglycine_(4TMS)_591933.56_TRUE	662	674	707	657	806	706	766	596	623	729	700	634	686	683	662	885	598	728	706	742	711	695
Guanidine_(3TMS)_266995.5_PRED	557	612	597	1211	1456	1666	1451	10140	1703	633	1389	NaN	495	1197	691	409	645	1294	438	NaN	716	297
"Heptacosanoic_acid,_n-_(1TMS)_1053682.38_PRED"	1364	1807	592	1032	1861	2861	846	24978	3803	3414	2799	3142	452	2649	1484	477	1902	2672	739	NaN	927	935
"Heptanoic_acid,_n-_(1TMS)_255612.95_PRED"	8798	14563	12046	21550	26324	27317	29313	197349	32920	15416	22860	37662	8071	18798	13087	7434	13691	40810	6812	57572	15238	5077
"Hexadecane,_n-_486353.06_PRED"	72329	56340	53890	36142	46206	69703	40933	296805	29554	58714	54176	48497	37916	39739	33981	32309	39774	71060	32641	35013	57981	35708
Hexadecanoate (1TMS) [MP-1.1]	15922	19597	12966	12900	16669	13507	15560	97738	19882	20474	17726	19149	8456	12990	18195	7613	15161	26819	9811	23894	19781	8927
"Hexanoic_acid,_2-ethyl-_(1TMS)_254181.88_PRED"	16438	28018	24301	43362	52901	54813	59260	392215	65943	30449	45562	75043	15736	37827	25377	14438	27055	81717	13617	118482	30020	10045
Histidine (3TMS) [MP-1.1]	1413	737	392	1092	1555	2008	583	9908	3477	754	210	644	301	689	320	480	481	438	175	611	875	803
Homoserine_(2TMS)_380616.94_PRED	24042	17533	15516	20750	28385	33576	22931	83349	29208	24094	20394	19979	9731	15242	20067	10614	17353	23587	9370	25795	21243	13082
